=== HQ RECOMPRESS SUMMARY ===
변환 성공: 283
원본 못 찾음: 0
동명이인/모호함: 0
변환 오류: 0
대상 설정: HERO + STILL / max 2800px / WebP q95
입력 용량 합계: 1230.4 MB
출력 용량 합계: 68.7 MB

=== DETAILS ===
OK | 2024-인천광역시-이장-통장-소양교육-still-05.webp -> 2024-inceongwangyeogsi-ijang-tongjang-soyanggyoyug-still-05.webp | 900x615 -> 900x615 | 119KB -> 119KB | match=exact-relative
OK | gang-still-18.jpg -> gang-still-18.webp | 3840x2160 -> 2800x1575 | 2847KB -> 290KB | match=exact-relative
OK | gang-still-24.jpg -> gang-still-24.webp | 3840x2160 -> 2800x1575 | 2719KB -> 236KB | match=exact-relative
OK | alien-still-18.png -> alien-still-18.webp | 3600x1532 -> 2800x1192 | 6588KB -> 360KB | match=exact-relative
OK | mackerel-hero.png -> mackerel-hero.webp | 3600x1532 -> 2800x1192 | 2601KB -> 189KB | match=exact-relative
OK | alien-still-24.png -> alien-still-24.webp | 3600x1532 -> 2800x1192 | 4560KB -> 172KB | match=exact-relative
OK | festival-still-02.png -> festival-still-02.webp | 3600x2014 -> 2800x1566 | 7704KB -> 392KB | match=exact-relative
OK | myname-still-05.png -> myname-still-05.webp | 3598x2024 -> 2800x1575 | 1540KB -> 118KB | match=exact-relative
OK | gang-hero.jpg -> gang-hero.webp | 3840x2160 -> 2800x1575 | 2377KB -> 167KB | match=exact-relative
OK | sara-still-19.png -> sara-still-19.webp | 3600x1676 -> 2800x1304 | 5311KB -> 223KB | match=exact-relative
OK | sara-hero.png -> sara-hero.webp | 3600x1676 -> 2800x1304 | 7230KB -> 478KB | match=exact-relative
OK | gang-still-26.jpg -> gang-still-26.webp | 3840x2160 -> 2800x1575 | 1562KB -> 150KB | match=exact-relative
OK | buriburi-still-18.png -> buriburi-still-18.webp | 1920x1080 -> 1920x1080 | 6086KB -> 312KB | match=exact-relative
OK | buriburi-still-19.png -> buriburi-still-19.webp | 1920x1080 -> 1920x1080 | 6086KB -> 271KB | match=exact-relative
OK | gang-still-27.jpg -> gang-still-27.webp | 3840x2160 -> 2800x1575 | 1578KB -> 132KB | match=exact-relative
OK | sara-still-18.png -> sara-still-18.webp | 3600x1676 -> 2800x1304 | 7230KB -> 478KB | match=exact-relative
OK | festival-still-01.png -> festival-still-01.webp | 3600x2014 -> 2800x1566 | 7704KB -> 311KB | match=exact-relative
OK | sun-rise-hero.png -> sun-rise-hero.webp | 3598x2024 -> 2800x1575 | 4297KB -> 328KB | match=exact-relative
